epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6198,4.7439,5.22446,4.03604,0,0,0,0,4.55364,4.76639,3.74789,0.0704762,0.00328042,0.00328042
2,56.0405,3.63161,3.85016,2.88778,0.00515,0.11913,0.00892,0.00223,3.6105,4.17781,2.89473,0.0404325,0.00657011,0.00657011
3,82.184,2.87306,2.82568,2.02276,0.20894,0.0875,0.00347,0.00133,4.06983,5577.66,13.2546,0.0103449,0.00981579,0.00981579
4,204.41,2.4694,2.33681,1.69172,0.00131,0.01973,0.00064,0.00023,3.74456,11.2893,2.99076,0.009802,0.009802,0.009802
5,262.76,2.22168,2.04939,1.53938,0.63015,0.20629,0.17124,0.06527,2.27837,2.3714,1.61585,0.009736,0.009736,0.009736
6,286.657,2.07978,1.86401,1.44879,0.62816,0.2313,0.2012,0.08411,2.19224,2.1209,1.54295,0.00967,0.00967,0.00967
7,310.047,1.96736,1.70229,1.41019,0.03744,0.04007,0.02171,0.00803,4.46154,4.70542,3.64878,0.009604,0.009604,0.009604
8,333.004,1.90368,1.59344,1.35692,0.74932,0.31887,0.32839,0.16134,1.79131,1.68079,1.34911,0.009538,0.009538,0.009538
9,356.388,1.8447,1.49763,1.32901,0.77493,0.33259,0.37245,0.18108,1.74925,1.41055,1.31082,0.009472,0.009472,0.009472
10,379.719,1.79018,1.42826,1.30742,0.7759,0.31982,0.35721,0.17985,1.71908,1.50873,1.33866,0.009406,0.009406,0.009406
11,402.591,1.77811,1.36532,1.28601,0.80958,0.36911,0.39791,0.20415,1.68299,1.33366,1.26733,0.00934,0.00934,0.00934
12,425.839,1.74321,1.32221,1.25666,0.80063,0.33967,0.382,0.19522,1.69805,1.30991,1.2855,0.009274,0.009274,0.009274
13,448.685,1.71549,1.27624,1.25023,0.82401,0.36932,0.40906,0.2088,1.6843,1.30262,1.28372,0.009208,0.009208,0.009208
14,471.972,1.69585,1.24342,1.23689,0.83034,0.36031,0.41133,0.22004,1.61073,1.17613,1.2456,0.009142,0.009142,0.009142
15,495.373,1.644,1.19926,1.22102,0.8271,0.39851,0.43457,0.23665,1.54643,1.10505,1.21036,0.009076,0.009076,0.009076
16,518.723,1.65048,1.19655,1.23139,0.82863,0.41001,0.48754,0.26837,1.55639,1.10859,1.20848,0.00901,0.00901,0.00901
17,542.208,1.63124,1.17559,1.20702,0.85406,0.38837,0.47452,0.24995,1.59129,1.17339,1.2138,0.008944,0.008944,0.008944
18,565.282,1.63892,1.1724,1.20284,0.84841,0.39109,0.48438,0.26843,1.62325,1.11325,1.22105,0.008878,0.008878,0.008878
19,588.206,1.61903,1.14559,1.19871,0.84173,0.40646,0.49961,0.27381,1.56114,1.19251,1.20996,0.008812,0.008812,0.008812
20,611.593,1.60187,1.12902,1.18801,0.81286,0.46216,0.50471,0.27223,1.52176,1.09295,1.17823,0.008746,0.008746,0.008746
21,634.547,1.5772,1.08569,1.1915,0.81831,0.42509,0.52646,0.2761,1.55476,1.08191,1.19738,0.00868,0.00868,0.00868
22,657.793,1.58113,1.08396,1.18799,0.73712,0.44882,0.53568,0.29468,1.49453,1.0132,1.17269,0.008614,0.008614,0.008614
23,681.114,1.55601,1.06198,1.16894,0.75667,0.46077,0.5274,0.27114,1.56232,1.05248,1.20233,0.008548,0.008548,0.008548
24,704.198,1.58456,1.07171,1.16686,0.71486,0.4412,0.51268,0.2706,1.50775,0.9945,1.17329,0.008482,0.008482,0.008482
25,727.187,1.54531,1.05025,1.16509,0.71156,0.50976,0.53296,0.29154,1.46325,0.97738,1.15064,0.008416,0.008416,0.008416
26,750.045,1.54752,1.03311,1.17043,0.80195,0.47082,0.54672,0.28594,1.50272,1.0161,1.16168,0.00835,0.00835,0.00835
27,772.988,1.5382,1.03686,1.16375,0.77535,0.47209,0.54301,0.29155,1.47832,0.98047,1.15209,0.008284,0.008284,0.008284
28,795.98,1.51787,0.99886,1.1519,0.64618,0.50217,0.53813,0.29641,1.44326,0.97188,1.1617,0.008218,0.008218,0.008218
29,819.381,1.53309,1.00584,1.1481,0.7946,0.47842,0.55739,0.30663,1.47383,0.95222,1.15095,0.008152,0.008152,0.008152
30,842.772,1.49774,0.97622,1.14479,0.78322,0.49322,0.57118,0.31218,1.44602,0.93347,1.13481,0.008086,0.008086,0.008086
31,866.039,1.50647,0.97577,1.14943,0.79534,0.47813,0.56055,0.31193,1.4625,0.94016,1.15235,0.00802,0.00802,0.00802
32,888.835,1.49733,0.98424,1.14944,0.75833,0.45898,0.49514,0.28311,1.464,1.00504,1.15081,0.007954,0.007954,0.007954
33,911.655,1.48354,0.9609,1.13767,0.72348,0.53355,0.57534,0.31565,1.41202,0.9038,1.12204,0.007888,0.007888,0.007888
34,934.92,1.46739,0.95443,1.13805,0.81709,0.49477,0.60534,0.33141,1.41591,0.89314,1.1297,0.007822,0.007822,0.007822
35,958.182,1.45562,0.92798,1.13016,0.81607,0.49218,0.56627,0.31222,1.41618,0.94121,1.12858,0.007756,0.007756,0.007756
36,981.126,1.47228,0.95356,1.13095,0.77569,0.55721,0.59795,0.34115,1.41273,0.89794,1.11598,0.00769,0.00769,0.00769
37,1004.47,1.47297,0.94756,1.1325,0.7775,0.46767,0.54412,0.31344,1.41683,0.91613,1.12848,0.007624,0.007624,0.007624
38,1027.49,1.45951,0.9254,1.13084,0.66852,0.52126,0.58825,0.32611,1.38871,0.85852,1.11885,0.007558,0.007558,0.007558
39,1050.47,1.46531,0.93512,1.12777,0.71395,0.49321,0.57583,0.33342,1.41622,0.86487,1.12975,0.007492,0.007492,0.007492
40,1073.35,1.42865,0.90625,1.12576,0.6803,0.53406,0.58951,0.34039,1.43704,0.86123,1.13535,0.007426,0.007426,0.007426
41,1096.36,1.43297,0.90096,1.1094,0.67944,0.53822,0.59085,0.3386,1.39992,0.93825,1.11558,0.00736,0.00736,0.00736
42,1118.68,1.43605,0.89756,1.10935,0.6028,0.52172,0.55542,0.31982,1.417,0.87601,1.12069,0.007294,0.007294,0.007294
43,1140.15,1.43855,0.90571,1.11896,0.74066,0.50805,0.58903,0.34501,1.38358,0.86238,1.11273,0.007228,0.007228,0.007228
44,1162.16,1.42915,0.89105,1.10711,0.70341,0.50628,0.59524,0.334,1.42964,0.89229,1.13615,0.007162,0.007162,0.007162
45,1183.96,1.41231,0.8855,1.10503,0.72487,0.5631,0.61117,0.33814,1.3875,0.85007,1.11457,0.007096,0.007096,0.007096
46,1205.84,1.41235,0.87749,1.10545,0.84468,0.54608,0.6253,0.35282,1.379,0.82951,1.10567,0.00703,0.00703,0.00703
47,1227.78,1.40347,0.87368,1.09572,0.67129,0.51793,0.59135,0.34665,1.3858,0.86659,1.10831,0.006964,0.006964,0.006964
48,1249.66,1.41161,0.87272,1.11224,0.69134,0.51244,0.58897,0.33339,1.38435,0.83541,1.1065,0.006898,0.006898,0.006898
49,1271.8,1.41924,0.87776,1.09658,0.7088,0.50343,0.58904,0.32779,1.40478,0.82967,1.10809,0.006832,0.006832,0.006832
50,1294.76,1.39653,0.8594,1.10061,0.81324,0.57074,0.62626,0.36304,1.3489,0.79399,1.0969,0.006766,0.006766,0.006766
51,1317.98,1.38982,0.85415,1.09955,0.70289,0.55176,0.61669,0.33961,1.3858,0.84163,1.1137,0.0067,0.0067,0.0067
52,1341.05,1.38841,0.85505,1.08567,0.73074,0.58861,0.6267,0.36527,1.34246,0.80713,1.09001,0.006634,0.006634,0.006634
53,1364.63,1.37701,0.83715,1.08912,0.86517,0.60634,0.67284,0.38413,1.35308,0.79088,1.08746,0.006568,0.006568,0.006568
54,1388.21,1.37626,0.84265,1.09101,0.65497,0.59425,0.61492,0.36481,1.36177,0.838,1.09914,0.006502,0.006502,0.006502
55,1411.14,1.38182,0.83865,1.09166,0.73885,0.53768,0.62703,0.37566,1.3326,0.77812,1.09278,0.006436,0.006436,0.006436
56,1434.11,1.37795,0.8388,1.08394,0.73353,0.59416,0.65322,0.38048,1.34632,0.79241,1.08866,0.00637,0.00637,0.00637
57,1457.02,1.36128,0.8258,1.08519,0.69729,0.6299,0.6247,0.38271,1.3527,0.78483,1.09094,0.006304,0.006304,0.006304
58,1479.99,1.36076,0.81722,1.08391,0.83309,0.58047,0.66486,0.37737,1.34025,0.76806,1.08937,0.006238,0.006238,0.006238
59,1494.28,1.37601,0.8233,1.08339,0.79255,0.56393,0.63898,0.36998,1.32009,0.76626,1.08335,0.006172,0.006172,0.006172
