epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3294,2.95822,4.18483,1.83331,0.0963,0.00223,0.04933,0.01738,2.61643,4.33133,1.534,0.0704762,0.00328042,0.00328042
2,30.3209,2.09795,2.3023,1.36526,0.66937,0.14438,0.16547,0.06401,2.03715,2.77494,1.27732,0.0404325,0.00657011,0.00657011
3,45.3958,1.95392,1.93686,1.2452,0.65219,0.26037,0.23148,0.10268,1.95519,2.81353,1.32767,0.0103449,0.00981579,0.00981579
4,60.2861,1.86567,1.72752,1.18357,0.68692,0.27041,0.23579,0.10234,2.00996,3.63503,1.29003,0.009802,0.009802,0.009802
5,75.235,1.78014,1.55356,1.14664,0.74191,0.34649,0.34516,0.16203,1.76892,2.72811,1.16438,0.009736,0.009736,0.009736
6,90.061,1.71702,1.45153,1.12364,0.79619,0.34567,0.37582,0.1848,1.71181,1.6099,1.13429,0.00967,0.00967,0.00967
7,104.91,1.65673,1.35815,1.10377,0.81601,0.36892,0.39256,0.19525,1.71851,1.37905,1.11711,0.009604,0.009604,0.009604
8,119.708,1.63726,1.29142,1.08947,0.82371,0.37189,0.42625,0.23386,1.5517,1.45499,1.05985,0.009538,0.009538,0.009538
9,134.55,1.5923,1.22923,1.07325,0.75875,0.38754,0.40902,0.21176,1.61123,1.41828,1.08586,0.009472,0.009472,0.009472
10,149.018,1.56985,1.17731,1.0642,0.63975,0.40041,0.45125,0.24937,1.51465,1.18698,1.05031,0.009406,0.009406,0.009406
11,163.848,1.55379,1.12497,1.05388,0.64474,0.40299,0.45608,0.24633,1.54564,1.17227,1.0635,0.00934,0.00934,0.00934
12,178.228,1.54169,1.10518,1.04635,0.72496,0.38233,0.43278,0.22354,1.57491,1.31006,1.07022,0.009274,0.009274,0.009274
13,192.738,1.50878,1.05832,1.0437,0.64724,0.45941,0.46261,0.24253,1.56913,1.08304,1.0729,0.009208,0.009208,0.009208
14,207.199,1.50509,1.04724,1.03765,0.79878,0.37121,0.41634,0.22535,1.55988,1.17662,1.06384,0.009142,0.009142,0.009142
15,221.686,1.4705,1.01247,1.02803,0.65916,0.44231,0.49114,0.27926,1.45646,1.05763,1.02404,0.009076,0.009076,0.009076
16,236.401,1.46412,1.00461,1.03469,0.64806,0.42249,0.48857,0.26993,1.51737,1.04552,1.03618,0.00901,0.00901,0.00901
17,250.83,1.45978,0.98749,1.02109,0.75361,0.42079,0.50343,0.2667,1.47772,1.15968,1.04743,0.008944,0.008944,0.008944
18,265.26,1.4702,0.98427,1.01954,0.65673,0.44656,0.51828,0.30091,1.43113,1.03929,1.01868,0.008878,0.008878,0.008878
19,280.101,1.44963,0.96189,1.01674,0.67532,0.47046,0.53662,0.31301,1.37123,0.96053,1.00596,0.008812,0.008812,0.008812
20,294.838,1.44027,0.94961,1.01424,0.79948,0.52007,0.61909,0.35339,1.40921,0.91742,1.00835,0.008746,0.008746,0.008746
21,309.622,1.41943,0.92557,1.01098,0.86114,0.44329,0.49805,0.28203,1.44506,1.01867,1.02137,0.00868,0.00868,0.00868
22,324.016,1.42179,0.91706,1.01063,0.6386,0.54971,0.59423,0.34973,1.35561,0.89452,1.00155,0.008614,0.008614,0.008614
23,338.444,1.39037,0.89336,0.99774,0.72881,0.5391,0.58008,0.33725,1.37633,0.93444,1.00172,0.008548,0.008548,0.008548
24,352.823,1.42388,0.91156,0.99916,0.82544,0.50391,0.62862,0.35771,1.42805,0.89598,1.02309,0.008482,0.008482,0.008482
25,367.663,1.39562,0.89063,1.00107,0.60426,0.61728,0.59002,0.322,1.39687,0.9961,1.0084,0.008416,0.008416,0.008416
26,382.017,1.39034,0.87495,0.99963,0.61105,0.6139,0.60473,0.36362,1.37347,0.87411,1.00205,0.00835,0.00835,0.00835
27,396.819,1.38918,0.87451,0.99486,0.77459,0.62654,0.66898,0.36587,1.36592,0.84389,0.99715,0.008284,0.008284,0.008284
28,411.508,1.36865,0.85413,0.99011,0.6655,0.5494,0.61005,0.36411,1.364,0.80495,0.99006,0.008218,0.008218,0.008218
29,425.902,1.38322,0.84982,0.98703,0.66333,0.5859,0.62429,0.34747,1.38048,0.85069,0.99613,0.008152,0.008152,0.008152
30,440.283,1.35282,0.83289,0.9843,0.83477,0.59765,0.65695,0.38608,1.35298,0.85971,0.99062,0.008086,0.008086,0.008086
31,455.105,1.36197,0.8311,0.98398,0.82559,0.59543,0.64803,0.35854,1.36139,0.83785,0.98564,0.00802,0.00802,0.00802
32,469.487,1.35112,0.83025,0.9848,0.78395,0.61017,0.65945,0.37746,1.36349,0.84143,0.99279,0.007954,0.007954,0.007954
33,483.958,1.33663,0.80942,0.9783,0.77496,0.55633,0.6159,0.34034,1.46056,0.9911,1.01366,0.007888,0.007888,0.007888
34,498.326,1.32236,0.80765,0.9771,0.68854,0.6937,0.70774,0.41955,1.32293,0.78303,0.97617,0.007822,0.007822,0.007822
35,513.009,1.32455,0.79678,0.9755,0.75388,0.6667,0.6894,0.40987,1.33255,0.76457,0.98079,0.007756,0.007756,0.007756
36,527.38,1.338,0.81134,0.97455,0.75366,0.61566,0.67498,0.39727,1.35135,0.80705,0.9823,0.00769,0.00769,0.00769
37,541.709,1.33252,0.80398,0.9708,0.78879,0.66398,0.70337,0.40777,1.32904,0.80957,0.98311,0.007624,0.007624,0.007624
38,556.047,1.32431,0.7829,0.97393,0.77159,0.6382,0.67649,0.39559,1.32061,0.76865,0.977,0.007558,0.007558,0.007558
39,570.391,1.32997,0.79635,0.97336,0.8335,0.65818,0.6943,0.40897,1.32789,0.79641,0.97702,0.007492,0.007492,0.007492
40,584.714,1.29997,0.76781,0.97141,0.74864,0.71706,0.71818,0.42865,1.30765,0.74657,0.97306,0.007426,0.007426,0.007426
41,599.36,1.30535,0.76979,0.96124,0.71947,0.67345,0.69549,0.41047,1.32245,0.75436,0.97419,0.00736,0.00736,0.00736
42,613.766,1.30088,0.7687,0.96374,0.79142,0.61856,0.68653,0.42161,1.31354,0.7641,0.97087,0.007294,0.007294,0.007294
43,628.236,1.30172,0.76147,0.96496,0.69022,0.72299,0.70702,0.42706,1.32123,0.73889,0.96945,0.007228,0.007228,0.007228
44,642.584,1.29303,0.7618,0.9603,0.76031,0.69046,0.74053,0.44143,1.30199,0.7492,0.96917,0.007162,0.007162,0.007162
45,657.343,1.27652,0.74719,0.95572,0.69688,0.66462,0.68121,0.40784,1.29085,0.72373,0.96471,0.007096,0.007096,0.007096
46,671.702,1.28269,0.74511,0.95986,0.77287,0.65855,0.697,0.42502,1.2903,0.74273,0.96413,0.00703,0.00703,0.00703
47,686.165,1.27165,0.73816,0.95326,0.79868,0.63118,0.68871,0.4134,1.28899,0.73396,0.96446,0.006964,0.006964,0.006964
48,700.453,1.27697,0.73894,0.96078,0.74868,0.62985,0.67194,0.39848,1.29277,0.76811,0.96408,0.006898,0.006898,0.006898
49,714.778,1.28145,0.74739,0.95284,0.80775,0.66876,0.73471,0.44677,1.28073,0.71741,0.96229,0.006832,0.006832,0.006832
50,729.413,1.26543,0.73353,0.95703,0.78137,0.64856,0.71049,0.41068,1.30349,0.73308,0.96685,0.006766,0.006766,0.006766
51,743.814,1.26252,0.73053,0.95421,0.73237,0.64959,0.70509,0.43079,1.28808,0.71744,0.96124,0.0067,0.0067,0.0067
52,758.132,1.27014,0.733,0.95093,0.79868,0.65455,0.72822,0.45341,1.29266,0.72006,0.96047,0.006634,0.006634,0.006634
53,772.897,1.25492,0.71781,0.94979,0.78744,0.6865,0.72413,0.44115,1.30867,0.76356,0.96724,0.006568,0.006568,0.006568
54,787.283,1.25044,0.71826,0.94903,0.8507,0.66191,0.7249,0.43647,1.2757,0.71024,0.95574,0.006502,0.006502,0.006502
55,801.671,1.2579,0.7143,0.95205,0.72174,0.63488,0.64297,0.39369,1.33464,0.76265,0.97104,0.006436,0.006436,0.006436
56,816.133,1.25313,0.71323,0.94595,0.81622,0.66951,0.72786,0.44425,1.30132,0.71071,0.96522,0.00637,0.00637,0.00637
57,830.501,1.23583,0.70301,0.94479,0.85238,0.70213,0.74244,0.45939,1.26586,0.68708,0.95793,0.006304,0.006304,0.006304
