epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3978,4.9792,6.7841,4.28757,0,0,0,0,4.93022,5.18008,4.15751,0.0704762,0.00328042,0.00328042
2,74.3625,4.98054,6.23631,4.241,0,0,0,0,4.93311,5.17708,4.15234,0.0404325,0.00657011,0.00657011
3,94.5355,4.90154,5.94335,4.16723,0.00029,0.00481,0.00015,4e-05,nan,nan,nan,0.0103449,0.00981579,0.00981579
4,116.288,3.74854,4.28992,2.98804,0.01678,0.14797,0.01022,0.00325,nan,nan,nan,0.009802,0.009802,0.009802
5,138.301,2.95403,2.90207,1.9428,0.02414,0.11016,0.01345,0.00362,3.47837,inf,2.54754,0.009736,0.009736,0.009736
6,158.629,2.56277,2.43314,1.69376,0.50131,0.10193,0.05827,0.01705,3.08697,3.00364,1.82181,0.00967,0.00967,0.00967
7,179.052,2.33259,2.19238,1.6033,0.55914,0.20584,0.13517,0.04921,2.34916,2.35081,1.58564,0.009604,0.009604,0.009604
8,199.406,2.19879,2.02598,1.50848,0.66006,0.2528,0.22915,0.09211,2.072,2.06039,1.49146,0.009538,0.009538,0.009538
9,219.716,2.11449,1.8926,1.46666,0.68481,0.26321,0.24611,0.10646,1.98651,1.99466,1.45789,0.009472,0.009472,0.009472
10,239.983,2.04533,1.80954,1.43415,0.71094,0.25275,0.27133,0.12423,1.90956,1.67673,1.38014,0.009406,0.009406,0.009406
11,260.315,1.98633,1.69888,1.38959,0.73131,0.29924,0.30751,0.14389,1.8599,1.5561,1.37015,0.00934,0.00934,0.00934
12,280.568,1.93606,1.63131,1.35057,0.73721,0.29882,0.31138,0.14764,1.86568,1.52686,1.35508,0.009274,0.009274,0.009274
13,300.726,1.89987,1.57533,1.33882,0.76019,0.32244,0.34186,0.1694,1.75462,1.47862,1.3201,0.009208,0.009208,0.009208
14,320.953,1.87171,1.53167,1.31846,0.69688,0.2034,0.20037,0.07982,2.13649,2.19672,1.46486,0.009142,0.009142,0.009142
15,340.606,1.80898,1.46105,1.30157,0.73867,0.29027,0.30749,0.15034,1.81052,1.5241,1.32721,0.009076,0.009076,0.009076
16,360.469,1.82638,1.46109,1.31276,0.75805,0.31378,0.3435,0.17091,1.7433,1.40074,1.29845,0.00901,0.00901,0.00901
17,380.627,1.80135,1.43007,1.28571,0.80322,0.32939,0.37447,0.18091,1.74757,1.36638,1.30224,0.008944,0.008944,0.008944
18,400.913,1.79563,1.43167,1.27438,0.77956,0.30873,0.35138,0.17822,1.73285,1.38421,1.28861,0.008878,0.008878,0.008878
