epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6932,4.84543,5.80577,4.14393,0,0,0,0,4.72971,4.02956,3.9327,0.0704762,0.00328042,0.00328042
2,69.3244,3.78677,4.04231,3.03646,0.00165,0.05627,0.00279,0.00066,3.95964,3.81385,3.37819,0.0404325,0.00657011,0.00657011
3,85.6928,3.06536,2.93724,2.15946,0.28952,0.03022,0.01874,0.00513,3.38885,inf,3.17444,0.0103449,0.00981579,0.00981579
4,101.263,2.60783,2.41272,1.75554,0.49282,0.1286,0.06135,0.01889,2.6789,2.96651,1.83066,0.009802,0.009802,0.009802
5,116.804,2.3124,2.09643,1.57893,0.39223,0.10583,0.08051,0.02663,2.94689,3.82418,2.12991,0.009736,0.009736,0.009736
6,131.944,2.15984,1.90435,1.48351,0.66735,0.26317,0.24142,0.10627,1.98795,2.27714,1.47475,0.00967,0.00967,0.00967
7,147.4,2.02907,1.73576,1.43789,0.62852,0.19691,0.17268,0.06857,2.25975,2.18179,1.544,0.009604,0.009604,0.009604
8,162.494,1.96535,1.62374,1.3827,0.73162,0.31401,0.33139,0.15629,1.84135,1.78195,1.36849,0.009538,0.009538,0.009538
9,178.069,1.89686,1.52103,1.35213,0.77874,0.32672,0.36665,0.18325,1.76912,1.39048,1.32908,0.009472,0.009472,0.009472
10,193.215,1.83315,1.44912,1.32279,0.7856,0.33197,0.36295,0.17418,1.82479,1.43006,1.35397,0.009406,0.009406,0.009406
11,207.958,1.80833,1.38066,1.29336,0.80409,0.37366,0.40453,0.20487,1.70363,1.23137,1.28788,0.00934,0.00934,0.00934
12,223.075,1.77688,1.32816,1.26797,0.81563,0.36265,0.39815,0.20504,1.66849,1.21537,1.27001,0.009274,0.009274,0.009274
13,237.884,1.72894,1.2803,1.25579,0.82365,0.35555,0.39826,0.19931,1.76502,1.43103,1.33719,0.009208,0.009208,0.009208
14,252.748,1.71223,1.25779,1.24117,0.80269,0.37573,0.41277,0.21917,1.61191,1.30177,1.2341,0.009142,0.009142,0.009142
15,268.052,1.66173,1.19837,1.22417,0.83731,0.39315,0.4304,0.23284,1.61131,1.09424,1.23434,0.009076,0.009076,0.009076
16,283.156,1.66692,1.19454,1.23436,0.8166,0.39517,0.43419,0.22911,1.60525,1.19677,1.22547,0.00901,0.00901,0.00901
17,298.283,1.64048,1.17095,1.20664,0.85323,0.3983,0.44634,0.24026,1.57487,1.06173,1.21183,0.008944,0.008944,0.008944
18,313.74,1.64313,1.15946,1.20294,0.84247,0.41521,0.47192,0.25225,1.51472,1.05052,1.18288,0.008878,0.008878,0.008878
19,329.498,1.62044,1.12555,1.19968,0.84885,0.3819,0.4413,0.23452,1.62829,1.15877,1.26222,0.008812,0.008812,0.008812
20,344.185,1.61318,1.12048,1.19003,0.702,0.49414,0.50226,0.26722,1.50921,0.97989,1.17569,0.008746,0.008746,0.008746
21,359.241,1.57998,1.07457,1.18899,0.81492,0.42453,0.4753,0.24036,1.57286,1.09318,1.19801,0.00868,0.00868,0.00868
22,373.964,1.58457,1.07464,1.19054,0.66408,0.49408,0.48449,0.26175,1.54297,0.96477,1.19672,0.008614,0.008614,0.008614
23,388.746,1.54957,1.05759,1.16463,0.85992,0.42729,0.47621,0.25897,1.53034,1.02218,1.18331,0.008548,0.008548,0.008548
24,403.403,1.57949,1.06482,1.16516,0.79608,0.48897,0.51593,0.27077,1.45625,0.9534,1.14952,0.008482,0.008482,0.008482
25,418.455,1.5438,1.04365,1.16038,0.65665,0.41131,0.46218,0.25889,1.4708,1.03283,1.15638,0.008416,0.008416,0.008416
26,433.078,1.54517,1.02509,1.16792,0.64954,0.40668,0.45488,0.24928,1.51835,1.10257,1.1636,0.00835,0.00835,0.00835
27,447.793,1.5278,1.02244,1.1577,0.74386,0.49,0.53971,0.29417,1.46631,0.95576,1.15989,0.008284,0.008284,0.008284
28,462.727,1.51343,0.98173,1.14754,0.69804,0.53885,0.53153,0.29644,1.44722,0.91314,1.14276,0.008218,0.008218,0.008218
29,477.9,1.52571,0.99345,1.14302,0.73202,0.45943,0.52281,0.28218,1.47344,0.92088,1.14735,0.008152,0.008152,0.008152
30,492.47,1.48776,0.96425,1.14018,0.74822,0.46314,0.54923,0.30145,1.46042,0.90593,1.1592,0.008086,0.008086,0.008086
31,507.478,1.49931,0.96038,1.14395,0.6602,0.42665,0.52528,0.29633,1.47528,0.98939,1.14897,0.00802,0.00802,0.00802
32,522.214,1.48562,0.97202,1.13993,0.8135,0.44472,0.50588,0.29139,1.46343,0.92824,1.16131,0.007954,0.007954,0.007954
33,536.971,1.47267,0.94483,1.13032,0.67325,0.44522,0.49529,0.28398,1.40863,0.9544,1.12068,0.007888,0.007888,0.007888
34,551.559,1.45178,0.93276,1.12838,0.80227,0.51271,0.56827,0.29525,1.44218,0.88397,1.13719,0.007822,0.007822,0.007822
35,566.204,1.44786,0.91438,1.12553,0.76346,0.48778,0.53122,0.29689,1.38412,0.88003,1.11622,0.007756,0.007756,0.007756
36,580.995,1.46903,0.93597,1.12874,0.65871,0.51728,0.56724,0.30594,1.46517,0.95933,1.14499,0.00769,0.00769,0.00769
