epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6527,4.61895,5.41901,4.15713,0,0,0,0,4.71157,5.0495,3.92362,0.0704762,0.00328042,0.00328042
2,33.1977,3.67896,4.03285,2.98546,0.00208,0.05684,0.00197,0.00055,3.84024,4.55807,3.19691,0.0404325,0.00657011,0.00657011
3,54.0874,3.04028,2.94475,2.08575,0.01813,0.02998,0.00938,0.00239,4.42681,2802.12,6.04793,0.0103449,0.00981579,0.00981579
4,70.738,2.60989,2.47072,1.76223,0.50666,0.08237,0.05344,0.01641,3.05479,7.39895,1.9808,0.009802,0.009802,0.009802
5,87.2208,2.31515,2.15911,1.58566,0.55411,0.13164,0.09506,0.03175,2.6218,2.82894,1.72942,0.009736,0.009736,0.009736
6,103.726,2.16007,1.96626,1.48902,0.62624,0.2966,0.25054,0.11375,1.96218,2.05284,1.45548,0.00967,0.00967,0.00967
7,120.127,2.0452,1.79598,1.447,0.39711,0.09706,0.08966,0.03265,2.46296,3.0966,1.73558,0.009604,0.009604,0.009604
8,136.202,1.96821,1.67809,1.38663,0.74553,0.29693,0.3189,0.15332,1.82472,1.60136,1.36475,0.009538,0.009538,0.009538
9,152.668,1.89698,1.56392,1.35406,0.73483,0.31541,0.33708,0.15744,1.8471,1.49575,1.35285,0.009472,0.009472,0.009472
10,169.141,1.85169,1.48835,1.3326,0.75671,0.27359,0.3046,0.14677,1.81989,1.64403,1.34648,0.009406,0.009406,0.009406
11,185.222,1.80975,1.41001,1.29837,0.78878,0.36391,0.38877,0.18925,1.75506,1.3387,1.29013,0.00934,0.00934,0.00934
12,201.665,1.79124,1.35553,1.27504,0.81326,0.36147,0.4032,0.1994,1.72951,1.2742,1.29101,0.009274,0.009274,0.009274
13,218.119,1.7409,1.3,1.26043,0.82831,0.37558,0.42178,0.21755,1.64581,1.25772,1.24988,0.009208,0.009208,0.009208
14,234.567,1.71943,1.27429,1.24317,0.81983,0.38369,0.42314,0.2254,1.61067,1.17327,1.2327,0.009142,0.009142,0.009142
15,251.007,1.66933,1.21329,1.22823,0.80972,0.33452,0.38663,0.20657,1.64003,1.2925,1.24552,0.009076,0.009076,0.009076
16,267.067,1.6668,1.20231,1.23573,0.78599,0.34248,0.38313,0.19988,1.68036,1.32309,1.25486,0.00901,0.00901,0.00901
17,283.128,1.6484,1.17707,1.21203,0.78072,0.26751,0.33001,0.17047,1.78046,1.61015,1.32044,0.008944,0.008944,0.008944
