epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4473,4.57808,5.22091,3.93826,0,0,0,0,4.6118,4.00065,3.82021,0.0704762,0.00328042,0.00328042
2,53.3622,3.49015,3.58465,2.64717,0.00553,0.11921,0.02218,0.00556,3.50569,3.66594,2.81175,0.0404325,0.00657011,0.00657011
3,66.5003,2.83015,2.71695,1.94683,0.07428,0.23036,0.06216,0.02093,3.10861,6.78096,2.17618,0.0103449,0.00981579,0.00981579
4,79.2385,2.46033,2.32885,1.67374,0.36688,0.18031,0.11843,0.04154,2.41237,3.36696,1.70886,0.009802,0.009802,0.009802
5,91.8711,2.227,2.05186,1.53508,0.6376,0.22899,0.20804,0.088,2.0911,2.29925,1.52514,0.009736,0.009736,0.009736
6,104.562,2.07566,1.86759,1.44124,0.69154,0.27456,0.26964,0.1219,1.93253,2.13155,1.46154,0.00967,0.00967,0.00967
7,117.207,1.98604,1.70245,1.4115,0.68939,0.26612,0.24941,0.09742,2.11691,1.75781,1.46676,0.009604,0.009604,0.009604
8,129.412,1.91473,1.60811,1.35584,0.47233,0.16988,0.18713,0.08262,2.21261,2.35282,1.56933,0.009538,0.009538,0.009538
9,141.763,1.8525,1.51627,1.32731,0.72389,0.30751,0.31937,0.14874,1.85182,1.47353,1.34859,0.009472,0.009472,0.009472
10,154.402,1.81003,1.44083,1.30967,0.76537,0.27455,0.30697,0.13937,1.96138,1.58368,1.42357,0.009406,0.009406,0.009406
11,166.775,1.77482,1.37405,1.27549,0.79979,0.36452,0.39831,0.20191,1.68749,1.23197,1.27326,0.00934,0.00934,0.00934
12,179.419,1.74708,1.33114,1.25457,0.75483,0.29416,0.33412,0.17304,1.75767,1.59664,1.30123,0.009274,0.009274,0.009274
13,191.777,1.70929,1.28404,1.24226,0.79601,0.3566,0.39492,0.20968,1.62904,1.2067,1.25649,0.009208,0.009208,0.009208
14,204.303,1.70059,1.261,1.23265,0.78495,0.35679,0.39626,0.21273,1.60693,1.22893,1.23408,0.009142,0.009142,0.009142
15,216.934,1.64968,1.20612,1.21758,0.82219,0.38276,0.4261,0.22809,1.55741,1.10473,1.22098,0.009076,0.009076,0.009076
16,229.548,1.65349,1.20071,1.22825,0.8333,0.38761,0.43091,0.22942,1.5992,1.18063,1.21474,0.00901,0.00901,0.00901
17,242.079,1.63769,1.17652,1.20543,0.83067,0.40943,0.48344,0.24019,1.59371,1.1099,1.21767,0.008944,0.008944,0.008944
18,254.646,1.63272,1.16428,1.19889,0.80177,0.46798,0.50425,0.2493,1.56683,1.1823,1.21615,0.008878,0.008878,0.008878
