epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9773,5.38449,8.00506,4.22305,0,0,0,0,5.54892,5.36481,3.94292,0.0706818,0.00325758,0.00325758
2,22.6207,4.44129,4.401,3.49566,0,0,0,0,5.46905,5.23229,3.87123,0.0406383,0.00654741,0.00654741
3,34.1466,3.48467,3.16222,2.28232,0.00604,0.00765,0.00112,0.00028,3.60949,5.85299,2.11977,0.0105508,0.00979324,0.00979324
4,45.68,2.95268,2.75561,1.81097,0.05062,0.01721,0.00656,0.00215,3.36006,6.39769,2.26581,0.009802,0.009802,0.009802
5,57.0645,2.73497,2.39736,1.60996,0.26172,0.23231,0.14147,0.03918,2.91222,7.99377,1.56507,0.009736,0.009736,0.009736
6,68.5118,2.58205,2.21345,1.53767,0.28163,0.25149,0.17738,0.06234,2.60096,2.85506,1.50464,0.00967,0.00967,0.00967
7,79.9757,2.46697,1.99947,1.44542,0.46297,0.27151,0.24608,0.07788,2.53812,2.82296,1.46692,0.009604,0.009604,0.009604
8,91.2347,2.36302,1.878,1.37449,0.39636,0.27055,0.23872,0.08212,2.55392,2.21179,1.45902,0.009538,0.009538,0.009538
9,103.029,2.30009,1.77755,1.37363,0.51735,0.41013,0.38443,0.13472,2.22047,2.28072,1.2993,0.009472,0.009472,0.009472
10,114.369,2.25463,1.66167,1.33373,0.59038,0.43403,0.4369,0.16224,2.14881,2.25941,1.27863,0.009406,0.009406,0.009406
11,125.414,2.18873,1.59061,1.30839,0.63292,0.46654,0.4775,0.17993,2.1014,1.51525,1.24752,0.00934,0.00934,0.00934
12,136.286,2.15755,1.52072,1.29474,0.55864,0.37148,0.39447,0.14025,2.24339,1.76801,1.29691,0.009274,0.009274,0.009274
13,146.755,2.0834,1.46777,1.28598,0.61806,0.49618,0.51639,0.2156,1.98186,1.46229,1.21448,0.009208,0.009208,0.009208
14,157.546,2.0751,1.39677,1.24907,0.60561,0.47858,0.48925,0.20251,2.03152,1.57076,1.22768,0.009142,0.009142,0.009142
15,168.188,2.03077,1.36818,1.2353,0.59376,0.4522,0.47161,0.1829,2.10352,1.5154,1.22978,0.009076,0.009076,0.009076
16,178.648,2.0193,1.324,1.22839,0.68067,0.48184,0.53697,0.22059,1.96923,1.4389,1.19481,0.00901,0.00901,0.00901
17,189.492,2.02593,1.33145,1.22075,0.68952,0.54207,0.57538,0.24096,1.94596,1.36318,1.18234,0.008944,0.008944,0.008944
18,200.252,1.96802,1.24947,1.20343,0.6706,0.55258,0.55807,0.21873,1.95648,1.32027,1.17653,0.008878,0.008878,0.008878
19,210.741,1.96255,1.23819,1.19311,0.58609,0.35564,0.36457,0.15651,2.04702,2.24793,1.24562,0.008812,0.008812,0.008812
20,221.165,1.93312,1.22623,1.19781,0.71238,0.52677,0.55599,0.22715,1.92209,1.4531,1.17889,0.008746,0.008746,0.008746
21,231.628,1.91297,1.23138,1.19513,0.68391,0.52868,0.56586,0.22199,1.95234,1.37996,1.16791,0.00868,0.00868,0.00868
22,242.04,1.88895,1.19377,1.19011,0.66629,0.42256,0.4638,0.20856,1.95109,1.5351,1.20465,0.008614,0.008614,0.008614
23,252.474,1.84342,1.16412,1.17048,0.70242,0.54971,0.56729,0.24697,1.87173,1.27727,1.15671,0.008548,0.008548,0.008548
24,263.242,1.87725,1.20119,1.19907,0.74876,0.587,0.63186,0.25959,1.81061,1.26699,1.13151,0.008482,0.008482,0.008482
25,273.981,1.90663,1.15409,1.17165,0.75883,0.58317,0.63236,0.26276,1.90355,1.20095,1.15905,0.008416,0.008416,0.008416
26,284.748,1.84354,1.11629,1.15476,0.74543,0.55449,0.60295,0.25899,1.86777,1.30494,1.1533,0.00835,0.00835,0.00835
27,295.19,1.85313,1.11734,1.16144,0.74449,0.59369,0.62925,0.26645,1.85213,1.18245,1.13324,0.008284,0.008284,0.008284
28,305.945,1.84082,1.10148,1.1616,0.70451,0.59034,0.60953,0.25442,1.82284,1.20518,1.12097,0.008218,0.008218,0.008218
29,316.367,1.81768,1.09044,1.15353,0.75137,0.54302,0.62619,0.27657,1.85108,1.18404,1.14249,0.008152,0.008152,0.008152
30,327.088,1.81307,1.06689,1.14699,0.77281,0.57457,0.64369,0.28203,1.85172,1.17379,1.13636,0.008086,0.008086,0.008086
31,337.848,1.78989,1.0792,1.14145,0.76349,0.6195,0.66589,0.293,1.75338,1.09614,1.10955,0.00802,0.00802,0.00802
32,348.557,1.78212,1.03746,1.12155,0.7984,0.56794,0.65308,0.28089,1.81363,1.16831,1.12411,0.007954,0.007954,0.007954
33,359.034,1.77366,1.03895,1.14637,0.75061,0.60134,0.64482,0.28006,1.82846,1.09446,1.13237,0.007888,0.007888,0.007888
