epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2893,5.57254,9.38036,4.3073,0,0,0,0,5.5356,5.35039,3.91373,0.0706818,0.00325758,0.00325758
2,22.3476,4.29127,4.2055,3.33446,0,0,0,0,5.20507,5.0653,3.65804,0.0406383,0.00654741,0.00654741
3,34.1197,3.2832,2.94579,2.19871,0.31823,0.06214,0.07391,0.02189,3.00142,3.16668,1.8507,0.0105508,0.00979324,0.00979324
4,45.8074,2.88161,2.59561,1.74567,0.17385,0.1195,0.06119,0.01835,3.05189,3.40957,1.9174,0.009802,0.009802,0.009802
5,57.2463,2.61444,2.31278,1.5441,0.37211,0.23423,0.20027,0.07113,2.53971,5.21752,1.4721,0.009736,0.009736,0.009736
6,69.0707,2.45877,2.10336,1.47163,0.33712,0.25621,0.1886,0.06135,2.52064,7.63139,1.4789,0.00967,0.00967,0.00967
7,80.4849,2.4007,1.93246,1.40388,0.48425,0.36807,0.32476,0.1074,2.33042,4.15943,1.37067,0.009604,0.009604,0.009604
8,92.2904,2.28742,1.84562,1.33768,0.41914,0.3327,0.28064,0.11146,2.27115,3.05206,1.33905,0.009538,0.009538,0.009538
9,103.647,2.21643,1.70008,1.33188,0.5376,0.33679,0.33509,0.12315,2.2436,2.03498,1.35303,0.009472,0.009472,0.009472
10,115.359,2.21368,1.60426,1.30802,0.41959,0.26099,0.25484,0.10263,2.29466,2.1552,1.37368,0.009406,0.009406,0.009406
11,126.68,2.12974,1.58345,1.28296,0.40693,0.26577,0.2475,0.07587,2.54256,2.35504,1.37731,0.00934,0.00934,0.00934
12,138.111,2.10923,1.49165,1.26593,0.5474,0.42161,0.41163,0.15843,2.14622,1.67625,1.27737,0.009274,0.009274,0.009274
13,149.865,2.02565,1.45393,1.25849,0.55627,0.42352,0.41233,0.16592,2.11084,1.82751,1.26741,0.009208,0.009208,0.009208
14,161.622,2.03024,1.35982,1.22671,0.62663,0.41109,0.44732,0.1861,2.01223,1.94967,1.20862,0.009142,0.009142,0.009142
15,173.348,1.97659,1.3443,1.21211,0.66018,0.48662,0.51665,0.19357,2.10127,1.58331,1.21451,0.009076,0.009076,0.009076
16,185.153,1.97492,1.30451,1.20824,0.67658,0.51199,0.53131,0.22602,1.94545,1.66974,1.18769,0.00901,0.00901,0.00901
17,196.872,1.99134,1.28759,1.20912,0.63899,0.47419,0.51101,0.19803,2.07568,1.43249,1.22936,0.008944,0.008944,0.008944
18,208.389,1.90549,1.2325,1.1768,0.66976,0.50096,0.54504,0.23205,1.97573,1.31357,1.174,0.008878,0.008878,0.008878
19,220.202,1.93021,1.22039,1.18067,0.68623,0.53527,0.55645,0.22805,1.9538,1.32431,1.17477,0.008812,0.008812,0.008812
20,231.642,1.8767,1.19535,1.1728,0.6636,0.49522,0.52177,0.22601,1.93193,1.39058,1.17991,0.008746,0.008746,0.008746
21,243.038,1.86201,1.17234,1.17252,0.6986,0.56063,0.60588,0.24833,1.92532,1.26108,1.15249,0.00868,0.00868,0.00868
22,254.778,1.8587,1.14534,1.16931,0.7265,0.53155,0.59449,0.24414,1.97427,1.31273,1.18482,0.008614,0.008614,0.008614
23,266.196,1.82913,1.13952,1.15952,0.72597,0.57361,0.63008,0.27507,1.85248,1.16996,1.13793,0.008548,0.008548,0.008548
24,277.956,1.84684,1.17467,1.17582,0.71196,0.59785,0.63286,0.26925,1.81665,1.2349,1.12201,0.008482,0.008482,0.008482
25,289.297,1.87614,1.13668,1.15563,0.75619,0.58413,0.63971,0.26239,1.90155,1.17226,1.14684,0.008416,0.008416,0.008416
26,300.609,1.80971,1.09012,1.13568,0.74583,0.62278,0.65248,0.29129,1.82127,1.08795,1.11877,0.00835,0.00835,0.00835
27,312.345,1.81529,1.08029,1.14022,0.7642,0.58222,0.64283,0.28409,1.83835,1.1144,1.13804,0.008284,0.008284,0.008284
28,323.711,1.80998,1.07705,1.14441,0.67599,0.54493,0.55111,0.24203,1.84347,1.25771,1.1343,0.008218,0.008218,0.008218
29,335.094,1.79003,1.0852,1.13997,0.74175,0.55736,0.60594,0.26409,1.84203,1.46703,1.12794,0.008152,0.008152,0.008152
30,346.488,1.79751,1.06096,1.14064,0.77359,0.58126,0.6378,0.2736,1.83108,1.12095,1.1143,0.008086,0.008086,0.008086
31,357.809,1.78811,1.08241,1.13512,0.74529,0.60143,0.63216,0.28085,1.78119,1.11918,1.11297,0.00802,0.00802,0.00802
32,369.225,1.76842,1.03733,1.11336,0.7444,0.61811,0.65656,0.28764,1.76243,1.22193,1.09776,0.007954,0.007954,0.007954
33,380.565,1.74021,1.02197,1.13292,0.76909,0.61138,0.66646,0.31123,1.74925,1.06001,1.09865,0.007888,0.007888,0.007888
34,392.259,1.74157,1.02448,1.12326,0.78494,0.57925,0.64196,0.29132,1.76834,1.13154,1.09948,0.007822,0.007822,0.007822
35,403.64,1.74879,1.03097,1.1227,0.78225,0.62141,0.69389,0.31541,1.71101,1.03856,1.08312,0.007756,0.007756,0.007756
36,415.309,1.74907,1.01637,1.12286,0.79693,0.6003,0.66055,0.29131,1.8249,1.06461,1.1237,0.00769,0.00769,0.00769
37,426.753,1.72605,0.99538,1.11049,0.78914,0.64436,0.69817,0.31604,1.74511,1.07613,1.09899,0.007624,0.007624,0.007624
38,438.505,1.70617,0.97431,1.11527,0.77288,0.61281,0.67071,0.31416,1.72576,1.03509,1.09432,0.007558,0.007558,0.007558
39,449.981,1.73429,0.99438,1.11753,0.77972,0.64974,0.70574,0.32681,1.72505,1.0224,1.08351,0.007492,0.007492,0.007492
40,461.801,1.71782,0.96038,1.10756,0.73291,0.64274,0.68686,0.30884,1.76797,1.17828,1.10555,0.007426,0.007426,0.007426
41,473.149,1.71137,0.97882,1.09291,0.77112,0.65488,0.69304,0.31162,1.76753,0.99201,1.0972,0.00736,0.00736,0.00736
42,484.592,1.6609,0.94091,1.08901,0.78427,0.65687,0.71328,0.32537,1.77647,0.97883,1.10306,0.007294,0.007294,0.007294
43,495.95,1.66215,0.94498,1.09374,0.79325,0.64192,0.69539,0.32366,1.71326,1.0063,1.0965,0.007228,0.007228,0.007228
44,507.337,1.69023,0.93939,1.09666,0.79538,0.66348,0.73205,0.31996,1.77593,0.99529,1.08959,0.007162,0.007162,0.007162
45,518.66,1.64663,0.9289,1.08586,0.7909,0.61759,0.68229,0.3143,1.71409,1.03784,1.10274,0.007096,0.007096,0.007096
46,529.989,1.65808,0.92342,1.09604,0.77431,0.64245,0.70374,0.32331,1.68938,1.00266,1.07423,0.00703,0.00703,0.00703
47,541.29,1.6335,0.91317,1.08582,0.80245,0.65201,0.71808,0.32876,1.70608,0.98484,1.08734,0.006964,0.006964,0.006964
48,552.972,1.63535,0.90757,1.08325,0.8281,0.63671,0.71552,0.32814,1.7615,0.9806,1.11528,0.006898,0.006898,0.006898
49,564.314,1.64605,0.91268,1.07679,0.78168,0.62715,0.69452,0.32726,1.66251,1.07587,1.07484,0.006832,0.006832,0.006832
50,575.619,1.62003,0.89482,1.08975,0.82283,0.63862,0.72044,0.34333,1.67257,0.97703,1.06492,0.006766,0.006766,0.006766
51,587.249,1.61449,0.88672,1.06815,0.796,0.63384,0.69881,0.31908,1.70319,1.04724,1.07805,0.0067,0.0067,0.0067
52,598.661,1.62495,0.88933,1.07065,0.76083,0.67495,0.72175,0.33875,1.64824,0.95443,1.0649,0.006634,0.006634,0.006634
53,610.002,1.60095,0.88282,1.0634,0.79477,0.64914,0.71907,0.32746,1.69091,0.96112,1.07454,0.006568,0.006568,0.006568
54,621.35,1.59066,0.84857,1.04678,0.78426,0.65679,0.72559,0.34309,1.67172,1.00154,1.06704,0.006502,0.006502,0.006502
55,632.978,1.59836,0.87471,1.06573,0.80454,0.70172,0.75347,0.34726,1.72495,0.94237,1.08113,0.006436,0.006436,0.006436
56,644.682,1.6073,0.8637,1.07303,0.80024,0.62811,0.70688,0.32866,1.70999,1.12652,1.07694,0.00637,0.00637,0.00637
57,655.99,1.61427,0.86533,1.07036,0.80521,0.69948,0.74765,0.36363,1.65269,0.8907,1.06695,0.006304,0.006304,0.006304
58,667.667,1.58401,0.86459,1.06136,0.79014,0.67973,0.73639,0.33217,1.72658,0.93525,1.07429,0.006238,0.006238,0.006238
59,679.001,1.56372,0.83628,1.04445,0.795,0.674,0.73776,0.35788,1.63802,0.91627,1.05248,0.006172,0.006172,0.006172
60,690.372,1.59039,0.84271,1.06367,0.81034,0.68215,0.74065,0.34114,1.66987,0.91338,1.06347,0.006106,0.006106,0.006106
61,701.705,1.59391,0.86826,1.07354,0.81384,0.67017,0.73402,0.35464,1.64352,0.92,1.06803,0.00604,0.00604,0.00604
62,713.011,1.5596,0.82087,1.05218,0.78739,0.68642,0.74974,0.35687,1.67573,0.90752,1.0576,0.005974,0.005974,0.005974
63,724.412,1.56129,0.83857,1.04703,0.79786,0.71318,0.77189,0.36603,1.65326,0.89004,1.05141,0.005908,0.005908,0.005908
