epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2948,5.63909,9.2715,4.27937,0,0,0,0,5.58602,5.55443,3.98175,0.0706818,0.00325758,0.00325758
2,21.8451,4.61507,4.6326,3.58994,0,0,0,0,5.12448,5.08103,3.6388,0.0406383,0.00654741,0.00654741
3,33.019,3.43967,3.2462,2.35174,0.16355,0.00765,0.02533,0.00756,3.21988,3.62075,2.12238,0.0105508,0.00979324,0.00979324
4,44.1327,2.92203,2.77033,1.82278,0.00045,0.00956,0.00014,5e-05,4.47704,815.469,7.84154,0.009802,0.009802,0.009802
5,54.8922,2.71583,2.42586,1.61682,0.18117,0.10994,0.05713,0.01835,3.04699,4.44828,1.86516,0.009736,0.009736,0.009736
6,66.104,2.57023,2.20575,1.52663,0.08962,0.25674,0.09677,0.02993,2.64814,40.869,1.53474,0.00967,0.00967,0.00967
7,77.2868,2.4481,2.0495,1.4198,0.47152,0.31166,0.27661,0.10106,2.33043,4.03888,1.36322,0.009604,0.009604,0.009604
8,88.3793,2.35239,1.88655,1.35968,0.46788,0.3088,0.30006,0.11941,2.29712,1.98688,1.3579,0.009538,0.009538,0.009538
9,99.5444,2.30322,1.77943,1.35879,0.49207,0.40918,0.39607,0.14857,2.17991,2.04072,1.28155,0.009472,0.009472,0.009472
10,110.769,2.22585,1.64709,1.31704,0.54224,0.45698,0.44145,0.15809,2.17651,1.68036,1.27282,0.009406,0.009406,0.009406
11,122.001,2.15561,1.60262,1.29011,0.58079,0.42352,0.43183,0.16152,2.09745,1.81391,1.2571,0.00934,0.00934,0.00934
12,133.186,2.1219,1.50933,1.27413,0.63274,0.43117,0.46858,0.19083,2.0406,1.54802,1.23186,0.009274,0.009274,0.009274
13,144.347,2.055,1.47238,1.26518,0.67279,0.45985,0.50323,0.20598,1.9832,1.48724,1.19702,0.009208,0.009208,0.009208
14,155.476,2.0582,1.38816,1.23789,0.63896,0.45411,0.49111,0.20102,2.03331,1.55873,1.20797,0.009142,0.009142,0.009142
15,166.322,2.02295,1.37288,1.2213,0.63725,0.47323,0.49615,0.19588,2.06446,1.43816,1.20179,0.009076,0.009076,0.009076
16,177.101,2.00071,1.33758,1.2183,0.66946,0.49044,0.54135,0.23254,1.92877,1.36028,1.16943,0.00901,0.00901,0.00901
17,188.534,2.02005,1.32824,1.21267,0.69709,0.50287,0.54677,0.23544,1.88994,1.34139,1.1799,0.008944,0.008944,0.008944
18,199.664,1.94367,1.26854,1.19517,0.64244,0.46463,0.48606,0.20529,1.92506,1.5905,1.18966,0.008878,0.008878,0.008878
19,210.422,1.96497,1.25961,1.18816,0.72163,0.5325,0.60241,0.25912,1.83908,1.27753,1.14352,0.008812,0.008812,0.008812
20,221.493,1.92391,1.21617,1.18978,0.67232,0.55641,0.56567,0.23872,1.91096,1.30152,1.16961,0.008746,0.008746,0.008746
21,232.313,1.90313,1.21097,1.18813,0.66001,0.54207,0.57779,0.22278,1.95913,1.27735,1.18398,0.00868,0.00868,0.00868
22,243.14,1.8912,1.16928,1.17731,0.68797,0.54207,0.5655,0.24088,1.88707,1.31211,1.15676,0.008614,0.008614,0.008614
23,253.913,1.84191,1.17136,1.15971,0.71429,0.58798,0.6223,0.25634,1.87209,1.21915,1.14003,0.008548,0.008548,0.008548
24,264.661,1.87858,1.18261,1.18752,0.75915,0.5846,0.63249,0.27003,1.80641,1.11772,1.12665,0.008482,0.008482,0.008482
25,275.869,1.89812,1.16594,1.16842,0.7289,0.58413,0.61284,0.24774,1.89451,1.24096,1.15769,0.008416,0.008416,0.008416
26,286.685,1.84001,1.12099,1.14907,0.70993,0.57326,0.60944,0.26324,1.84873,1.15485,1.1379,0.00835,0.00835,0.00835
27,297.498,1.84778,1.11577,1.15409,0.72639,0.58317,0.62927,0.26688,1.82365,1.21326,1.13013,0.008284,0.008284,0.008284
28,308.242,1.8222,1.10603,1.15286,0.68175,0.52199,0.56437,0.25136,1.79935,1.49276,1.1228,0.008218,0.008218,0.008218
29,319.052,1.8115,1.08845,1.14354,0.71986,0.59697,0.64977,0.29009,1.7877,1.09943,1.11223,0.008152,0.008152,0.008152
30,330.187,1.80528,1.07248,1.14294,0.75581,0.61185,0.66865,0.30281,1.75668,1.06692,1.10451,0.008086,0.008086,0.008086
31,341.286,1.80075,1.09657,1.13812,0.69517,0.58317,0.6135,0.26557,1.817,1.241,1.13268,0.00802,0.00802,0.00802
